"sitesCode","acer.freem","acer.ginna","acer.negun","acer.nigru","acer.plata","acer.rinum","acer.rubru","acer.sacch","acer.tatar","aescu.hippo","amela.laevi","betul.alleg","betul.papyr","betul.popul","carpi.carol","carya.cordi","carya.ovata","celti.occid","cercis.canad","fagus.grand","fraxi.cf.penns","fraxi.nigra","jugla.ciner","malus.pumil","ostry.virgi","picea.abies","picea.glauc","pinus.resin","pinus.strob","popul.balsa","popul.delto","popul.grand","popul.jacki","popul.tremu","prunu.pensy","prunu.serot","querc.bicol","querc.macro","querc.rubra","robin.pseud","salix.amygd","salix.fragi","salix.nigra","thuja.occid","tilia.ameri","tilia.corda","tsuga.canad","ulmus.ameri","ulmus.pumil","ulmus.rubra"
"aj11e",0,0,0,0,0,0,1.22718463030851,0,0,0,0,0,0,2.20893233455532,0,0,0,0,0,0,5.64504929941916,0,0,0,0,0,0,0,0,0,0.441786466911065,0,0,1.22718463030851,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99433049795277,0,0
"aj12eXYZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.883572933822129,0,0,0,0,0,0,0.883572933822129,0,0,0,0,0,0,0,0,0,0,0,0,8.8357293382213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441786466911065,0,0
"aj13e",0,0,0,0,0,0,0.441786466911065,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79231145505618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76147636559703,0,0
"aj2c",0,0,0,0,0,2.11075756413064,1.32535940073319,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11767085578938,0,0,0,0.883572933822129,0,0,0,0,0,0,0,0,0.883572933822129,0,0,0.441786466911065,0,1.66897109721958,0,0,0,0,1.32535940073319,0,0,0,0,0,0
"aj3c",0,0,0,0,0,0,0,4.95782590644639,0,0,0,0,0,0,0,0,0,0,0,2.84706834231575,2.84706834231575,0,0,0,0.883572933822129,0,0,0,0,5.20326283250809,0,0,0,0,0,0,0,0,4.1233403578366,0,0,0,0,0,2.65071880146639,0,3.28885480922681,0.441786466911065,0,0
"aj4c",0,0,0,0,0,4.07425297262426,1.76714586764426,0.441786466911065,0,0,0,0,0,0,0,0,0,0,0,0,2.20893233455532,0.441786466911065,0,0,1.32535940073319,0,0,0,0,0,0,0,0,0,0,0,1.22718463030851,0,14.5298660228528,0,0,0,0,0,0,0,0,0,0,0
"aj5c",0,0,0,0,0,1.22718463030851,2.45436926061703,0,0,0,0,0,0,0.441786466911065,0.883572933822129,0,0,0,0,0,8.8357293382213,0,0,0,0,0,0,0,0,0,0,0,0,10.7501373615026,0,2.55254403104171,0,0,0,0,0,0,0,0,0,0,0,1.32535940073319,0,0
"aj6c",0,0,0,0,0,3.97607820219958,0,1.22718463030851,0,0,0,0,0,0,0,0,0,0,0,0,25.3290907695677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32535940073319,0,0
"aj7c",0,0,0,0,0,1.22718463030851,3.43611696486384,12.0264093770234,0,0,0,0,0,0,0,0,0,0,0,0,0.883572933822129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22718463030851,0,0,0,0,0,0,0,0,0.441786466911065,0,0,0,0,0
"aj8e",0,0,0,0,0,3.73064127613788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00691329165873,0,0,0,0.883572933822129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68155389092554,0,0,1.66897109721958,0,0
"an10e",0,0,0,0,0,52.4709786750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441786466911065,0,0,0,0,0
"an11e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441786466911065,0,0,0,0,0,0,0,0,0,0,6.18501053675491,0,0,0,0,0
"an12e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8779034317749,0,0,0,0,0,0,0,0,0,8.59029241215959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98866099590554,0,0
"an13e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6248588704533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an14e",0,0,0,0,0,3.8779034317749,0,0,0,0,0,0,0,0,0,2.40528187540469,0,0,0,0,4.90873852123405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66990393942821,0,0,0,0,0,0,0,0,0,0,0
"an1c",0,0,0,2.40528187540469,0,0.441786466911065,0,7.60854470791278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an3c",0,0,0,0,0,0,0,6.52862223324129,0,0,0,0,0,0,0,0,0,0,0,0.441786466911065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1333709712907,0,0,0,0,0,1.22718463030851,0,0,0,0,0
"an4c",0,0,0,0,0,1.66897109721958,0,1.66897109721958,0,0,0,0,0,0,0,0.441786466911065,0,0,0,0,3.68155389092554,0,0,0,0,0,0,0,0,0,16.937111393666,0,0,0,0,0,0,0,0,0,2.40528187540469,0,0,0,0.883572933822129,0,0,1.32535940073319,0,0
"an5c",0,0,0,0,0,0,0,7.7558068635498,0,0,0,0,0,0,0,0,0,0,0,0,4.81056375080937,0,6.49180669433203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6324665057132,0,0,0,0,0
"an6c",0,0,0,0,0,19.3404297736622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441786466911065,0,0,0,0,0
"an7c",0,0,0,0,0,15.707963267949,0,0,0,0,0,0,0,0,0,1.66897109721958,0,0,0,0,2.40528187540469,0,0,0,0.441786466911065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22718463030851,0,0,0,0,0
"an8e",0,0,0,0,0,0,0,0.441786466911065,0,0,0,0,0,0,0,17.2787595947439,0,0,0,0,0.441786466911065,0.441786466911065,0,0,0.441786466911065,0,0,0,0,0,0,0,0,0,0,0,0,3.97607820219958,0,0,0,0,0,0,2.89615572752809,0,0,0,0,0
"an9e",0,0,0,0,0,5.30143760293278,0,0,0,0,0,0,0,0,0,3.33794219443916,0,0,0,0,5.79231145505618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11075756413064,0,0,0.441786466911065,0,0
"arb1c",0,0,0,0,0,4.41786466911065,0,0.441786466911065,0,0,0,0,0,0,0,0,2.55254403104171,0,0,0,1.22718463030851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30143760293278,0,0,0,0,0,0.441786466911065,0,0,0,0,0,0
"arb2c",0,0,0,0,0,0,0,13.7935552446677,0,0,0,0,0,0,0,0,0,0,0,2.89615572752809,1.32535940073319,0,0,0,2.20893233455532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41786466911065,0,0,0,0,0
"arb3c",0,0,0,0.441786466911065,0,0,0,1.22718463030851,0,0,0,0,0,0,0,1.66897109721958,0.883572933822129,0,0,0,7.33108317173855,0.883572933822129,0,0,0.883572933822129,0,0,0,0,0,0,0,0,0,0,0,0,2.40528187540469,0,0,0,0,0,0,2.84706834231575,0,0,0,0,0
"arb4e",0,0,0,0,0,0,0,5.98866099590554,0,0,0,0,0,0,0,0,0,0,0,0,4.17242774304894,0,0,0,2.65071880146639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25235021772044,0,0,0.441786466911065,0,0
"arb5e",0,0,0,0,0,0,0,1.32535940073319,0,0,0,0,0,0,0,0,0,0,0,0,4.41786466911065,0,0,0,0.441786466911065,0,0,0,0,0,1.66897109721958,0.441786466911065,0,0,0,0,0,0,2.45436926061703,0,0,0,0,0,0,0,0,0,0,0
"bea1c",0,0,0.441786466911065,0,9.0792027688745,4.41786466911065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bea2c",0,0,0,0,0,0,0,31.4629718858854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bea3e",0,0,0,0,1.22718463030851,48.0177907235177,0,1.22718463030851,0,0,0,0,0,0,0,2.40528187540469,0,0,0,0,1.22718463030851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bea4e",0,0,0,0,0,0.883572933822129,0,3.97607820219958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bea5e",0,0,0,0,8.49211764173491,0,0,13.4499435481813,0,0,0,0,0,0,0,0,0,0,0,0,4.85965113602171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce1c",0,0,0,2.84706834231575,0,20.8699926968787,0,4.81056375080937,0,0,0,0,0,0,0,0,0,0,0,0,1.76714586764426,0,3.97607820219958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce2c",0,0,0,7.31402039663874,0,0,0,16.2302530466083,0,0,0,0,0,0,0,4.81056375080937,0,0,0,0.441786466911065,2.40528187540469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce3c",0,0,0,0,0,0,0,28.5400537159396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce4e",0,0,0,1.22718463030851,2.45436926061703,0,0,9.8174770424681,0,0,0,0,0,0,0,0,0,0,0,0,3.28885480922681,0,0,0,6.87223392972767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41786466911065,0,0,0,0,0
"ce5e",0,0,1.66897109721958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4191084587221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2649330114264,0,0
"ce6e",0,0,0,7.7558068635498,0,0,0,1.76714586764426,0,0,0,0,0,0,0,0,0,0,0,0,6.52862223324129,0.441786466911065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8779034317749,0,0.883572933822129
"fla1c",0,0,0,0,0,0.883572933822129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95215640439916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6111572481436,0,0,0,0,0,0,0,0,0.441786466911065,0,0
"fla2c",0,0,0.883572933822129,0,0,1.22718463030851,1.22718463030851,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09250526837745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77972866135022,0,0,0,0,0,0,0,0,0,0
"fla3c",0,0,0.883572933822129,0,0,0,20.5185270187583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883572933822129,0,0
