"sitesCode","STTotal23","STFraxi23","Prop.Fraxi23","patchID"
"aj11e",16.8369731278328,0.441786466911065,0.0262390670553936,"x13"
"aj12eXYZ",6.72497177409065,0,0,"x13"
"aj13e",11.8300598361741,0,0,"x13"
"aj2c",32.9867228626928,0,0,"x13"
"aj3c",40.4970928001809,0,0,"x13"
"aj4c",22.7274593533137,0,0,"x13"
"aj5c",25.5745276956294,0,0,"x13"
"aj6c",16.14974973486,0,0,"x13"
"aj7c",19.7822162405732,0,0,"x13"
"aj8e",19.1440802328128,0,0,"x13"
"an10e",51.2526297740568,0,0,"x65"
"an11e",29.9923923647401,0.441786466911065,0.0147299509001637,"x65"
"an12e",35.2447425824605,0.441786466911065,0.0125348189415042,"x65"
"an13e",66.317057421872,0.883572933822129,0.0133234641006662,"x65"
"an14e",31.3614395383122,0,0,"x65"
"an1c",18.1922758335455,0.441786466911065,0.0242842880656215,"x65"
"an3c",40.3576846261779,0,0,"x65"
"an4c",56.5241240720101,0.441786466911065,0.00781589231437256,"x65"
"an5c",41.7262409258979,0,0,"x65"
"an6c",46.169631035319,0,0,"x65"
"an7c",49.7839352085036,0,0,"x65"
"an8e",35.708127498865,0,0,"x65"
"an9e",28.826566965947,0.441786466911065,0.0153256704980843,"x65"
"arb1c",25.8263459817687,0,0,"x29"
"arb2c",39.9610585536622,0,0,"x29"
"arb3c",23.5231658676057,0,0,"x29"
"arb4e",19.2913423884498,0,0,"x29"
"arb5e",24.3473430653209,0,0,"x29"
"bea1c",21.6367376538955,0,0,"x26"
"bea2c",42.2765105141283,0,0,"x26"
"bea3e",84.5544936498129,0,0,"x26"
"bea4e",10.8483121319273,0.441786466911065,0.0407239819004525,"x26"
"bea5e",31.2377393275771,0,0,"x26"
"ce1c",33.0794980207441,0,0,"x46"
"ce2c",25.7340616975695,0,0,"x46"
"ce3c",35.234925105418,0,0,"x46"
"ce4e",25.4292290354009,0,0,"x46"
"ce5e",2.65071880146639,1.32535940073319,0.5,"x46"
"ce6e",23.8073818279852,0,0,"x46"
"fla1c",33.1516564770063,0,0,"x2"
"fla2c",10.7010499762902,0,0,"x2"
"fla3c",40.0553063332699,0,0,"x2"
"fla4e",6.82314654451533,0,0,"x2"
"fla5e",39.2478777513891,0,0,"x2"
"flb1c",4.95782590644639,0.883572933822129,0.178217821782178,"x3"
"flb2c",1.32535940073319,0,0,"x3"
"flb3c",29.0106446604932,0,0,"x3"
"flb5e",8.05033117482385,1.66897109721958,0.207317073170732,"x3"
"flb6e",2.84706834231575,0.441786466911065,0.155172413793103,"x3"
"flb7e",16.2302530466083,0,0,"x3"
"flb8e",81.9999861233627,0,0,"x3"
"gra1c",15.0698272601885,0,0,"x49"
"gra2e",39.0131811452119,0,0,"x49"
"gra3e",41.3855744725243,0,0,"x49"
"gra4e",40.9879666523043,0,0,"x49"
"he12e",17.6856940181542,0,0,"x4"
"he14e",17.0333226686822,0,0,"x4"
"he15e",31.718304828806,0,0,"x4"
"he1c",36.5828647033489,0,0,"x4"
"he2c",26.5562753998762,0.441786466911065,0.0166358595194085,"x4"
"he4c",3.09250526837745,0,0,"x4"
"he5c",57.3384837926828,0.441786466911065,0.00770488575366624,"x4"
"he6c",55.127587962719,0,0,"x4"
"he7c",20.6579351927614,0,0,"x4"
"he8c",1.32535940073319,0.441786466911065,0.333333333333333,"x4"
"hei1c",52.9603799055942,0,0,"x63"
"hei2c",36.5701019831937,8.98299149385832,0.245637583892617,"x63"
"hei3e",39.6140107402109,15.7693224994644,0.398074373303924,"x63"
"hei4e",35.8337912050086,0,0,"x63"
"ibd1c",67.7798615011998,0,0,"x27"
"ibd2c",64.558747283566,0.441786466911065,0.00684316975623109,"x27"
"ibd3c",34.1378220459222,0.441786466911065,0.0129412610539938,"x27"
"ibd4e",49.6003483878095,0,0,"x27"
"ibd5e",22.347032117918,0,0,"x27"
"iro1c",7.7558068635498,0,0,"x31"
"iro2c",18.0641577581413,0,0,"x31"
"iro3c",36.8047396845087,0.883572933822129,0.0240070420656726,"x31"
"iro4e",27.4889357189107,0,0,"x31"
