"sitesCode","species","DHP","Etat","Rejet","Health_class","DHP_class","DHP_Class"
"an11e","fraxi.cf.penns",2,1,"0","Alive","1","1"
"an11e","fraxi.cf.penns",4,1,"0","Alive","2","2"
"an12e","fraxi.cf.penns",9,5,"0","Dead","4","3"
"an14e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"an14e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"an14e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"an14e","fraxi.cf.penns",0.25,1,"0","Alive","0","0"
"an14e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"an3c","fraxi.cf.penns",2,1,"0","Alive","1","1"
"an3c","fraxi.cf.penns",2,1,"0","Alive","1","1"
"an3c","fraxi.cf.penns",2,1,"0","Alive","1","1"
"an3c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"an4c","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"arb4e","fraxi.cf.penns",0.33,1,"0","Alive","0","0"
"bea1c","fraxi.cf.penns",6,5,"0","Dead","3","3"
"bea1c","fraxi.cf.penns",6,5,"0","Dead","3","3"
"bea3e","fraxi.cf.penns",5,2,"0","Alive","3","3"
"bea3e","fraxi.cf.penns",6,2,"0","Alive","3","3"
"bea3e","fraxi.cf.penns",6,3,"0","Alive","3","3"
"ce5e","fraxi.cf.penns",1.5,1,"0","Alive","1","1"
"ce5e","fraxi.cf.penns",4,1,"0","Alive","2","2"
"ce5e","fraxi.cf.penns",9.5,5,"0","Dead","4","3"
"flb1c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb1c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb1c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb1c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb1c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb1c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb1c","fraxi.cf.penns",7,6,"0","Dead","3","3"
"flb2c","fraxi.cf.penns",1,1,"0","Alive","1","1"
"flb2c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb2c","fraxi.cf.penns",9,2,"0","Alive","4","3"
"flb3c","fraxi.cf.penns",7,5,"0","Dead","3","3"
"flb3c","fraxi.cf.penns",9,5,"0","Dead","4","3"
"flb5e","fraxi.cf.penns",1,2,"0","Alive","1","1"
"flb5e","fraxi.cf.penns",5,2,"0","Alive","3","3"
"flb5e","fraxi.cf.penns",7.25,3,"0","Alive","3","3"
"flb6e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"flb8e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"he12e","fraxi.cf.penns",6,5,"0","Dead","3","3"
"he12e","fraxi.cf.penns",6.5,5,"0","Dead","3","3"
"he12e","fraxi.cf.penns",3,5,"0","Dead","2","2"
"he14e","fraxi.cf.penns",2.3,1,"0","Alive","1","1"
"he14e","fraxi.cf.penns",1.8,1,"0","Alive","1","1"
"he14e","fraxi.cf.penns",1.1,1,"0","Alive","1","1"
"he14e","fraxi.cf.penns",3.1,1,"0","Alive","2","2"
"he14e","fraxi.cf.penns",2.6,1,"0","Alive","2","2"
"he14e","fraxi.cf.penns",0.9,1,"0","Alive","0","0"
"he14e","fraxi.cf.penns",2,1,"0","Alive","1","1"
"he14e","fraxi.cf.penns",2.5,1,"0","Alive","2","2"
"he14e","fraxi.cf.penns",2.8,1,"0","Alive","2","2"
"he14e","fraxi.cf.penns",3.6,1,"0","Alive","2","2"
"he14e","fraxi.cf.penns",3.1,1,"0","Alive","2","2"
"he14e","fraxi.cf.penns",4,5,"0","Dead","2","2"
"he14e","fraxi.cf.penns",6.9,5,"0","Dead","3","3"
"he14e","fraxi.cf.penns",1.3,5,"0","Dead","1","1"
"he14e","fraxi.cf.penns",1.5,5,"0","Dead","1","1"
"he14e","fraxi.cf.penns",3.2,5,"0","Dead","2","2"
"he14e","fraxi.cf.penns",7.5,5,"0","Dead","4","3"
"he14e","fraxi.cf.penns",8.6,5,"0","Dead","4","3"
"he14e","fraxi.cf.penns",3.3,5,"0","Dead","2","2"
"he15e","fraxi.cf.penns",7,1,"0","Alive","3","3"
"he15e","fraxi.cf.penns",4,1,"0","Alive","2","2"
"he2c","fraxi.cf.penns",1,1,"0","Alive","1","1"
"he2c","fraxi.cf.penns",8,5,"0","Dead","4","3"
"he2c","fraxi.cf.penns",7,5,"0","Dead","3","3"
"he5c","fraxi.cf.penns",1,4,"0","Alive","1","1"
"ibd1c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"ibd2c","fraxi.cf.penns",1,1,"0","Alive","1","1"
"ibd3c","fraxi.cf.penns",0.5,3,"0","Alive","0","0"
"ibd4e","fraxi.cf.penns",3,1,"0","Alive","2","2"
"ibd4e","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"ibd4e","fraxi.cf.penns",1.5,1,"0","Alive","1","1"
"ibd4e","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"ibd4e","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"ibd4e","fraxi.cf.penns",5,1,"0","Alive","3","3"
"ibd4e","fraxi.cf.penns",8.5,1,"0","Alive","4","3"
"ibd4e","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"ibd4e","fraxi.cf.penns",2,2,"0","Alive","1","1"
"ibd4e","fraxi.cf.penns",2,2,"0","Alive","1","1"
"ibd5e","fraxi.cf.penns",2,1,"0","Alive","1","1"
"ibd5e","fraxi.cf.penns",0.5,2,"0","Alive","0","0"
"iro2c","fraxi.cf.penns",3,1,"1","Alive","2","2"
"iro3c","fraxi.cf.penns",1,1,"1","Alive","1","1"
"iro3c","fraxi.cf.penns",1,1,"1","Alive","1","1"
"iro3c","fraxi.cf.penns",1,1,"1","Alive","1","1"
"iro3c","fraxi.cf.penns",0.5,1,"1","Alive","0","0"
"iro3c","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"iro4e","fraxi.cf.penns",3,2,"0","Alive","2","2"
"iro6e","fraxi.cf.penns",0.5,1,"1","Alive","0","0"
"iro6e","fraxi.cf.penns",0.5,1,"1","Alive","0","0"
"iro6e","fraxi.cf.penns",0.5,1,"1","Alive","0","0"
"iro6e","fraxi.cf.penns",0.5,1,"1","Alive","0","0"
"iro6e","fraxi.cf.penns",0.5,1,"1","Alive","0","0"
"iro6e","fraxi.cf.penns",1,1,"1","Alive","1","1"
"iro6e","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"iro6e","fraxi.cf.penns",2.5,1,"0","Alive","2","2"
"iro6e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"la1c","fraxi.cf.penns",1,1,"1","Alive","1","1"
"la1c","fraxi.cf.penns",1,1,"1","Alive","1","1"
"la1c","fraxi.cf.penns",1,1,"1","Alive","1","1"
"la1c","fraxi.cf.penns",1,1,"1","Alive","1","1"
"la1c","fraxi.cf.penns",6.25,1,"0","Alive","3","3"
"la1c","fraxi.cf.penns",1.5,1,"1","Alive","1","1"
"la1c","fraxi.cf.penns",1.5,1,"1","Alive","1","1"
"la1c","fraxi.cf.penns",1.5,1,"1","Alive","1","1"
"la2c","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"la2c","fraxi.cf.penns",1.2,1,"0","Alive","1","1"
"la2c","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"la2c","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"la2c","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"la3e","fraxi.cf.penns",0.3,1,"1","Alive","0","0"
"la3e","fraxi.cf.penns",4,1,"1","Alive","2","2"
"la3e","fraxi.cf.penns",3,3,"1","Alive","2","2"
"la4e","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"la4e","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"la4e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"la4e","fraxi.cf.penns",0.6,1,"0","Alive","0","0"
"la4e","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"la4e","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"la4e","fraxi.cf.penns",0.6,2,"0","Alive","0","0"
"li12e","fraxi.cf.penns",1.5,1,"0","Alive","1","1"
"li12e","fraxi.cf.penns",7,5,"0","Dead","3","3"
"li19e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"li19e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"li19e","fraxi.cf.penns",1,1,"0","Alive","1","1"
"li4c","fraxi.cf.penns",0.3,1,"0","Alive","0","0"
"li4c","fraxi.cf.penns",0.2,1,"0","Alive","0","0"
"ma2c","fraxi.cf.penns",0.75,1,"0","Alive","0","0"
"ma2c","fraxi.cf.penns",1,1,"0","Alive","1","1"
"ma3c","fraxi.cf.penns",1.5,1,"0","Alive","1","1"
"ma3c","fraxi.cf.penns",0.75,1,"0","Alive","0","0"
"ma5e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"ma5e","fraxi.cf.penns",0.5,1,"0","Alive","0","0"
"ma5e","fraxi.cf.penns",0.25,1,"0","Alive","0","0"
"ma5e","fraxi.cf.penns",0.25,1,"0","Alive","0","0"
"ma5e","fraxi.cf.penns",1.75,1,"0","Alive","1","1"
"ma5e","fraxi.cf.penns",8,2,"0","Alive","4","3"
"ma5e","fraxi.cf.penns",7.25,2,"0","Alive","3","3"
"ma6","fraxi.cf.penns",0.75,1,"0","Alive","0","0"
"ma6","fraxi.cf.penns",1,1,"0","Alive","1","1"
"ma6","fraxi.cf.penns",0.25,1,"0","Alive","0","0"
"ma6","fraxi.cf.penns",0.25,1,"0","Alive","0","0"
"ma6","fraxi.cf.penns",0.25,1,"0","Alive","0","0"
"ma6","fraxi.cf.penns",3.5,1,"0","Alive","2","2"
"ma6","fraxi.cf.penns",9.5,1,"0","Alive","4","3"
"ma6","fraxi.cf.penns",1,1,"0","Alive","1","1"
