"sitesCode","species","DHP","Etat","DHP_class","Health_class","DHP_Category"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,5,15,0,"15"
"aj11e","fraxi.cf.penns",15,3,15,1,"15"
"aj11e","fraxi.cf.penns",25,5,25,0,"25"
"aj11e","fraxi.cf.penns",25,5,25,0,"25"
"aj11e","fraxi.cf.penns",25,5,25,0,"25"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",15,5,15,0,"15"
"aj12eXYZ","fraxi.cf.penns",25,5,25,0,"25"
"aj12eXYZ","fraxi.cf.penns",25,5,25,0,"25"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",15,5,15,0,"15"
"aj13e","fraxi.cf.penns",25,5,25,0,"25"
"aj13e","fraxi.cf.penns",25,5,25,0,"25"
"aj13e","fraxi.cf.penns",25,5,25,0,"25"
"aj13e","fraxi.cf.penns",35,5,35,0,"35"
"aj2c","fraxi.cf.penns",35,5,35,0,"35"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",25,5,25,0,"25"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",25,5,25,0,"25"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",25,5,25,0,"25"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj2c","fraxi.cf.penns",15,5,15,0,"15"
"aj3c","fraxi.cf.penns",25,5,25,0,"25"
"aj3c","fraxi.cf.penns",25,5,25,0,"25"
"aj3c","fraxi.cf.penns",35,5,35,0,"35"
"aj4c","fraxi.cf.penns",35,5,35,0,"35"
"aj4c","fraxi.cf.penns",35,5,35,0,"35"
"aj4c","fraxi.cf.penns",15,5,15,0,"15"
