"sitesCode","DBH","Health"
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",5
"aj11e","10-20",3
"aj11e","21-30",5
"aj11e","21-30",5
"aj11e","21-30",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","10-20",5
"aj12eXYZ","21-30",5
"aj12eXYZ","21-30",5
"aj13e","10-20",5
"aj13e","10-20",5
"aj13e","10-20",5
"aj13e","10-20",5
"aj13e","10-20",5
"aj13e","10-20",5
"aj13e","10-20",5
"aj13e","10-20",5
"aj13e","21-30",5
"aj13e","21-30",5
"aj13e","21-30",5
"aj13e","31-40",5
"aj2c","31-40",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","21-30",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","21-30",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj2c","21-30",5
"aj2c","10-20",5
"aj2c","10-20",5
"aj3c","21-30",5
"aj3c","21-30",5
"aj3c","31-40",5
"aj4c","31-40",5
"aj4c","31-40",5
"aj4c","10-20",5
"aj4c","21-30",5
"aj4c","10-20",5
"aj4c","10-20",5
"aj4c","10-20",5
"aj5c","10-20",5
"aj5c","10-20",5
"aj5c","10-20",5
"aj5c","10-20",5
"aj5c","10-20",5
"aj5c","21-30",5
"aj5c","10-20",5
"aj5c","21-30",5
"aj5c","10-20",5
"aj5c","10-20",5
"aj5c","31-40",5
"aj5c","10-20",5
"aj5c","10-20",5
"aj5c","21-30",5
"aj5c","21-30",5
"aj6c","21-30",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","21-30",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","31-40",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","21-30",5
"aj6c","21-30",5
"aj6c","21-30",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","21-30",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","21-30",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
"aj6c","10-20",5
