"sitesCode","acer.ginna","acer.negun","acer.nigru","acer.plata","acer.rinum","acer.rubru","acer.sacch","amela.laevi","betul.alleg","betul.papyr","betul.popul","carpi.carol","carya.cordi","carya.ovata","celti.occid","fagus.grand","fraxi.cf.penns","fraxi.nigra","ostry.virgi","picea.abies","picea.glauc","popul.delto","popul.tremu","prunu.serot","querc.bicol","querc.macro","querc.rubra","robin.pseud","tilia.ameri","ulmus.ameri","ulmus.rubra"
"an10e",0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,400,0,0
"an11e",0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,6800,0,0
"an12e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an13e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an14e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,1200,400,0
"an1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an3c",0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,400,0
"an4c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an5c",0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,1200
"an6c",0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an7c",0,0,0,0,0,0,800,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an8e",0,0,0,0,0,0,800,0,0,0,0,0,800,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an9e",0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,400,400,0
"arb1c",0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,1200,0
"arb2c",0,0,0,0,0,0,2000,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arb3c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,800,0,0,0,0,0,0,0,0,0,800,0,0
"arb4e",0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arb5e",0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bea1c",0,0,0,0,800,0,400,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bea4e",0,0,0,0,1600,0,5600,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bea5e",0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce1c",0,0,400,0,0,0,2000,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce2c",0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce3c",0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce4e",0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce5e",0,2800,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce6e",0,0,2000,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0
"gra1c",0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gra2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gra3e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gra4e",0,0,0,0,0,0,8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hei1c",0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,400,0,0,0,0
"hei2c",0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hei3e",0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hei4e",0,0,0,400,0,0,0,0,0,0,0,0,0,800,0,0,0,0,800,0,0,0,0,0,0,0,400,0,1200,400,0
"ibd1c",0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ibd2c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,0
"ibd3c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,400,0,0,800,0,0
"ibd4e",0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,400,0,0,0,1200,0
"ibd5e",0,0,800,0,0,0,1200,0,0,0,0,0,0,0,0,0,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0
"iro1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iro2c",0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iro3c",0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iro4e",0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,1600,0
