"code","latin_name"
"acer.freem","Acer x freemanii"
"acer.ginna","Acer ginnala"
"acer.negun","Acer negundo"
"acer.nigru","Acer nigrum"
"acer.plata","Acer platanoides"
"acer.rinum","Acer saccharinum"
"acer.rubru","Acer rubrum"
"acer.sacch","Acer saccharum"
"acer.tatar","Acer tataricum"
"aescu.hippo","Aesculus hippocastanum"
"amela.laevi","Amelanchier laevis"
"betul.alleg","Betula alleghaniensis"
"betul.papyr","Betula papyrifera"
"betul.popul","Betula populifolia"
"carpi.carol","Carpinus caroliniana"
"carya.cordi","Carya cordiformis"
"carya.ovata","Carya ovata"
"celti.occid","Celtis occidentalis"
"cercis.canad","Cercis canadensis"
"fagus.grand","Fagus grandifolia"
"fraxi.nigra","Fraxinus nigra"
"fraxi.cf.penns","Fraxinus cf. pennsylvanica"
"jugla.ciner","Juglans cinerea"
"malus.pumil","Malus pumila"
"ostry.virgi","Ostrya virginiana"
"picea.abies","Picea abies"
"picea.glauc","Picea glauca"
"pinus.resin","Pinus resinosa"
"pinus.strob","Pinus strobus"
"popul.balsa","Populus balsamifera"
"popul.delto","Populus deltoides"
"popul.grand","Populus grandidentata"
"popul.jacki","Populus jackii"
"popul.tremu","Populus tremuloides"
"prunu.pensy","Prunus pensylvanica"
"prunu.serot","Prunus serotina"
"querc.bicol","Quercus bicolor"
"querc.macro","Quercus macrocarpa"
"querc.rubra","Quercus rubra"
"robin.pseud","Robinia pseudoacacia"
"salix.amygd","Salix amygdaloides"
"salix.fragi","Salix fragilis"
"salix.nigra","Salix nigra"
"thuja.occid","Thuja occidentalis"
"tilia.ameri","Tilia americana"
"tilia.corda","Tilia cordata"
"tsuga.canad","Tsuga canadensis"
"ulmus.ameri","Ulmus americana"
"ulmus.pumil","Ulmus pumila"
"ulmus.rubra","Ulmus rubra"
